ID,이디야,스타벅스,커피빈,빽다방,커피지수,y,x
함안,1,0.0,2.0,0.0,2.0,19.0,6.0
함양,1,1.0,0.0,1.0,0.5,17.0,6.0
합천,1,0.0,0.0,0.0,0.0,16.0,7.0
해남,2,0.0,1.0,0.0,0.5,23.0,0.0
홍성,1,0.0,0.0,2.0,0.0,12.0,2.0
홍천,3,2.0,0.0,1.0,0.5,2.0,8.0
화성,28,16.0,5.0,10.0,0.5526315789473685,10.0,3.0
화순,1,0.0,0.0,1.0,0.0,21.0,4.0
화천,1,0.0,0.0,1.0,0.0,0.0,8.0
횡성,1,1.0,0.0,0.0,1.0,2.0,9.0
